Brand,Year,Model,UsedOrNew,Transmission,EngineSize,DriveType,FuelType,FuelConsumptionPer100km,Kilometres,ExteriorColour,CylindersinEngine,BodyType,Seats,Price,City,State
Kia,2018,Carnival,USED,Automatic,2.2,Front,Diesel,7.7,144461,White,4,Wagon,8,37990,Mackay,QLD
Hyundai,2021,Kona,USED,Automatic,2.0,Front,Unleaded,6.2,62445,Red,4,SUV,5,27580,Bentley,WA
Hyundai,2021,I30,USED,Automatic,2.0,Front,Unleaded,7.4,30546,Blue,4,Hatchback,5,26990,Mackay,QLD
Ford,2018,Ranger,USED,Automatic,3.2,4WD,Diesel,8.9,162452,White,5,Ute / Tray,5,48990,Mackay,QLD
Mitsubishi,2015,Lancer,USED,Automatic,2.4,Front,Unleaded,8.5,113986,Red,4,Sedan,5,17999,Gosnells,WA
Volkswagen,2020,T-Cross,USED,Automatic,1.0,Front,Premium,5.4,12892,White,3,SUV,5,33990,Mackay,QLD
Toyota,2008,Aurion,USED,Automatic,3.5,Front,Unleaded,9.9,192588,Red,6,Sedan,5,9980,Victoria Park,WA
Chevrolet,2020,Silverado,USED,Automatic,6.2,4WD,Unleaded,0.0,71792,Silver,8,Ute / Tray,5,127990,Mackay,QLD
Hyundai,2016,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,172888,-,4,SUV,5,19888,Rockingham,WA
Mitsubishi,2017,Outlander,USED,Automatic,2.4,Front,Unleaded,6.8,108933,White,4,SUV,7,24990,West End,QLD
Nissan,2015,Navara,USED,Automatic,2.3,4WD,Diesel,7.0,156528,White,4,Ute / Tray,4,32921,Como,WA
Toyota,2021,Fortuner,USED,Automatic,2.8,4WD,Diesel,7.6,26070,Grey,4,SUV,7,63988,Bentley,WA
Kia,2018,Picanto,USED,Automatic,1.2,Front,Unleaded,5.8,90137,Silver,4,Hatchback,5,16990,West End,QLD
Hyundai,2018,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,84286,White,4,SUV,5,24999,Welshpool,WA
Toyota,2019,Camry,USED,Automatic,2.5,Front,Unleaded,7.8,53012,Blue,4,Sedan,5,30990,West End,QLD
Volkswagen,2017,Passat,USED,Automatic,2.0,AWD,Diesel,5.4,90622,White,4,SUV,5,28990,Rockingham,WA
Kia,2020,Sportage,USED,Automatic,2.0,Front,Unleaded,7.9,58927,Silver,4,SUV,5,32999,Welshpool,WA
Mazda,2017,CX-9,USED,Automatic,2.5,AWD,Unleaded,8.8,91210,Red,4,SUV,7,37999,Garbutt,QLD
Mitsubishi,2013,Outlander,USED,Automatic,2.3,AWD,Diesel,5.8,184079,Grey,4,SUV,7,18299,Garbutt,QLD
