,Brand,Year,Model,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption/100km,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,Extcolour,City,State
14315,Holden,2006-01-01,Calais,USED,Automatic,3.6,Rear,Unleaded,7.3,178950.0,6,Sedan,4,5,10990.0,Grey ,Osborne Park, WA
14316,Kia,2020-01-01,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,59383.0,4,Sedan,4,5,23980.0,White ,Bentley, WA
14317,MG,2021-01-01,HS,USED,Automatic,1.5,Front,Unleaded,7.3,36624.0,4,SUV,4,5,28988.0,Blue ,Bentley, WA
14318,Mazda,2021-01-01,CX-30,USED,Automatic,2.0,Front,Unleaded,6.5,28997.0,4,SUV,4,5,35989.0,Silver ,Maddington, WA
14319,Holden,2008-01-01,Commodore,USED,Automatic,3.6,Rear,Unleaded,7.3,213297.0,6,Wagon,4,5,12990.0,Green ,Osborne Park, WA
14320,Ford,2022-01-01,Puma,USED,Automatic,1.0,Front,Premium,5.3,9048.0,3,SUV,5,5,34444.0,Grey ,Mandurah, WA
14321,Volkswagen,2015-01-01,Golf,USED,Automatic,1.4,Front,Premium,5.2,85269.0,4,Hatchback,5,5,18888.0,Grey ,Morley, WA
14322,Kia,2022-01-01,Carnival,USED,Automatic,3.5,Front,Unleaded,9.6,3202.0,6,Wagon,4,8,52999.0,Silver ,Victoria Park, WA
14323,Holden,2013-01-01,Caprice,USED,Automatic,6.0,Rear,Premium,4.5,84333.0,8,Sedan,4,5,34999.0,Black ,Welshpool, WA
14324,Toyota,2023-01-01,Kluger,USED,Automatic,2.4,Front,Unleaded,8.3,112.0,4,SUV,5,7,76888.0,Silver ,Morley, WA
14325,BMW,2007-01-01,325I,USED,Automatic,2.5,Rear,Premium,9.0,241871.0,6,Coupe,2,4,13990.0,Grey ,Osborne Park, WA
14326,Ssangyong,2023-01-01,Korando,USED,Automatic,1.5,Front,Unleaded,7.7,23.0,4,SUV,5,5,33585.0,Grey ,Bunbury, WA
14328,Audi,2016-01-01,RS3,USED,Automatic,2.5,AWD,Premium,8.1,74700.0,5,Hatchback,5,5,54990.0,Silver ,Myaree, WA
14329,Mazda,2015-01-01,CX-5,USED,Automatic,2.5,AWD,Unleaded,7.4,84583.0,4,SUV,4,5,25350.0,White ,Myaree, WA
14330,Mitsubishi,2018-01-01,Outlander,USED,Automatic,2.4,Front,Unleaded,6.8,120449.0,4,SUV,4,7,24998.0,Grey ,Morley, WA
14331,Mazda,2021-01-01,CX-3,USED,Automatic,2.0,AWD,Unleaded,6.7,20590.0,4,SUV,4,5,36888.0,White ,Myaree, WA
14332,Hyundai,2006-01-01,Getz,USED,Automatic,1.6,Front,Unleaded,7.1,237598.0,4,Hatchback,5,5,5985.0,White ,Victoria Park, WA
14333,Nissan,2021-01-01,Qashqai,USED,Automatic,2.0,Front,Unleaded,6.9,70205.0,4,SUV,4,5,27990.0,Blue ,Osborne Park, WA
14335,Hyundai,2019-01-01,Kona,USED,Automatic,2.0,Front,Unleaded,7.2,87601.0,4,SUV,4,5,24369.0,White ,Bentley, WA
14336,Mercedes-Benz,2013-01-01,C250,USED,Automatic,2.1,Rear,Diesel,5.1,131948.0,4,Sedan,4,5,19990.0,Grey ,Saint James, WA
14337,BMW,2015-01-01,X3,USED,Automatic,2.0,4WD,Premium,7.3,93671.0,4,SUV,4,5,32980.0,White ,Canning Vale, WA
14338,Volkswagen,2020-01-01,Golf,USED,Automatic,1.4,Front,Premium,5.6,32360.0,4,Wagon,4,5,24999.0,Grey ,Bayswater, WA
14339,Hyundai,2020-01-01,Venue,USED,Automatic,1.6,Front,Unleaded,7.2,54177.0,4,SUV,4,5,24999.0,White ,Welshpool, WA
14341,Isuzu,2017-01-01,MU-X,USED,Automatic,3.0,Rear,Diesel,8.1,46300.0,4,SUV,4,7,40990.0,Black ,Myaree, WA
14343,Mitsubishi,2018-01-01,Triton,USED,Automatic,2.4,4WD,Diesel,7.6,94281.0,4,Ute / Tray,4,5,32998.0,White ,Morley, WA
14344,Holden,2016-01-01,Commodore,USED,Automatic,3.6,Rear,Unleaded,9.5,162125.0,6,Sedan,4,5,15985.0,White ,Victoria Park, WA
14345,BMW,2013-01-01,X5,USED,Automatic,3.0,4WD,Diesel,7.4,128319.0,6,SUV,4,5,31989.0,Grey ,Melville, WA
14346,MG,2021-01-01,HS,USED,Automatic,1.5,Front,Unleaded,7.3,31560.0,4,SUV,4,5,26990.0,White ,Maddington, WA
14347,Holden,2011-01-01,Commodore,USED,Automatic,6.0,Rear,Premium,4.6,170414.0,8,Sedan,4,5,23990.0,Red ,Canning Vale, WA
14349,Toyota,2022-01-01,Hilux,USED,Automatic,2.8,4WD,Diesel,8.0,4429.0,4,Ute / Tray,4,5,80988.0,White ,Bentley, WA
14350,Kia,2019-01-01,Carnival,USED,Automatic,3.3,Front,Unleaded,0.8,48624.0,6,Wagon,4,8,35988.0,White ,Maddington, WA
14351,Audi,2012-01-01,A5,USED,Automatic,2.0,AWD,Premium,7.8,133986.0,4,Convertible,2,4,22999.0,Gold ,Bentley, WA
14352,Mercedes-Benz,2019-01-01,X350,USED,Automatic,3.0,4WD,Diesel,8.8,129368.0,6,Ute / Tray,4,5,48990.0,White ,Morley, WA
14353,Nissan,2018-01-01,X-Trail,USED,Automatic,2.5,4WD,Unleaded,8.3,122094.0,4,SUV,4,5,24288.0,Grey ,Morley, WA
14354,Kia,2019-01-01,Carnival,USED,Automatic,3.3,Front,Unleaded,0.8,51815.0,6,Wagon,4,8,35300.0,Grey ,Maddington, WA
14355,Toyota,2008-01-01,Landcruiser,USED,Automatic,4.7,4WD,Unleaded,4.5,302145.0,8,SUV,4,8,39990.0,Gold ,Rockingham, WA
14356,Kia,2019-01-01,Carnival,USED,Automatic,3.3,Front,Unleaded,0.8,56891.0,6,Wagon,4,8,33990.0,White ,Morley, WA
14357,Subaru,2019-01-01,XV,USED,Automatic,2.0,AWD,Unleaded,7.0,151300.0,4,SUV,4,5,24888.0,Blue ,Melville, WA
14358,Mitsubishi,2006-01-01,Pajero,USED,Automatic,3.8,4WD,Unleaded,4.7,149953.0,6,SUV,4,7,15990.0,Grey ,Osborne Park, WA
14359,Subaru,2021-01-01,Forester,USED,Automatic,2.5,AWD,Unleaded,7.4,60100.0,4,SUV,4,5,34980.0,Silver ,Bentley, WA
14360,Mazda,2018-01-01,CX-3,USED,Automatic,2.0,Front,Unleaded,6.1,121199.0,4,SUV,4,5,19490.0,White ,Burswood, WA
14362,Audi,2018-01-01,A3,USED,Automatic,2.0,AWD,Premium,6.2,18182.0,4,Hatchback,5,5,41999.0,Grey ,Welshpool, WA
14363,Holden,2000-01-01,Commodore,USED,Automatic,5.7,Rear,Unleaded,3.0,240566.0,8,Sedan,4,5,19990.0,Blue ,Osborne Park, WA
14365,Hyundai,2015-01-01,Genesis,USED,Automatic,3.8,Rear,Unleaded,0.2,133287.0,6,Sedan,4,5,26757.0,Black ,Maddington, WA
14367,GWM,2023-01-01,Haval,NEW,Automatic,1.5,Front,Premium,8.1,1.0,4,SUV,4,5,33990.0,White ,Morley, WA
14369,Hyundai,2021-01-01,I30,USED,Automatic,2.0,Front,Unleaded,7.4,21173.0,4,Hatchback,4,5,27999.0,White ,Victoria Park, WA
14371,Kia,2020-01-01,Carnival,USED,Automatic,3.3,Front,Unleaded,0.8,50151.0,6,Wagon,4,8,35990.0,White ,Victoria Park, WA
14372,GWM,2023-01-01,Haval,NEW,Automatic,1.5,Front,Premium,8.1,1.0,4,SUV,4,5,34485.0,Grey ,Morley, WA
14373,Hyundai,2019-01-01,I30,USED,Automatic,2.0,Front,Unleaded,7.4,57820.0,4,Hatchback,4,5,22999.0,Grey ,Victoria Park, WA
14374,Land,2016-01-01,Rover,USED,Automatic,3.0,AWD,Diesel,7.3,114282.0,6,SUV,4,5,62990.0,Grey ,Welshpool, WA
